Most emitting ship types,CO2 emissions per ship type,Single ships with the highest emissions,ktCO2,Ship type big single emitters,Company,Most emitting company,CO2 (Mt),Company type
Container ship,54226862.11,MSC WORLD EUROPA,140601.08,Passenger ship,MSC,MSC,13691210.33,Container ships
Oil tanker,18533177.94,CRUISE BARCELONA,126577.54,Ro-pax ship,Grimaldi Group,A.P. Moller,10271832.76,Container ships
Bulk carrier,15159430.49,RIBERA DEL DUERO KNUTSEN,124859.93,LNG carrier,Knutsen OAS Shipping,CMA CGM,8075610.4,Container ships
Ro-pax ship,13839163.93,CMA CGM BENJAMIN FRANKLIN,117926.53,Container ship,CMA CGM,Hapag-Lloyd,5201091.44,Container ships
LNG carrier,8996684.01,IONA,116915.65,Passenger ship,Carnival Corporation,China COSCO Shipping,4532746.78,Container ships
Chemical tanker,8495131.45,CRUISE ROMA,111440.09,Ro-pax ship,Grimaldi Group,Evergreen Marine,2752980.9899999998,Container ships
Passenger ship,7506858.53,MSC FANTASIA,110462.64,Passenger ship,MSC,ONE,2624666.58,Container ships
Ro-ro ship,5382524.63,VLADIMIR VIZE,109843.7,LNG carrier,Mitsui OSK Lines,HMM,1100374.1199999999,Container ships
General cargo ship,5318976.67,EBBA MAERSK,109211.92,Container ship,A.P. Moller,ZIM Integrated Shpg,793328.97,Container ships
Vehicle carrier,4444995.93,VENTURA,108582.44,Passenger ship,Carnival Corporation,Grimaldi Group,790064.62,Container ships
,,,,,,Carnival Corporation,2505841.77,Cruise ships
,,,,,,MSC,1399617.82,Cruise ships
,,,,,,NCL Holdings,828365.57,Cruise ships
,,,,,,Royal Caribbean,733383.24,Cruise ships
,,,,,,Tui Cruises,351850.24,Cruise ships
,,,,,,Tui Travel Plc,186648.38,Cruise ships
,,,,,,Viking Cruises,185772.23,Cruise ships
,,,,,,Fred Olsen & Co,138282.69,Cruise ships
,,,,,,Virgin Voyages,105177.45999999999,Cruise ships
,,,,,,Phoenix Reisen,82217.16,Cruise ships
,,,,,,Scorpio Group,836694.02,Oil/Chemical tanker
,,,,,,BW Group,687547.73,Oil/Chemical tanker
,,,,,,Shell,651993.47,Oil/Chemical tanker
,,,,,,Cardiff Marine,592380.02,Oil/Chemical tanker
,,,,,,Fredriksen Group,563597.5,Oil/Chemical tanker
,,,,,,Minerva Marine,559768.16,Oil/Chemical tanker
,,,,,,Penfield Marine,551732.98,Oil/Chemical tanker
,,,,,,A.P. Moller Holding,545067.5,Oil/Chemical tanker
,,,,,,Thenamaris,529601.91,Oil/Chemical tanker
,,,,,,Angelicoussis Group,493640.11,Oil/Chemical tanker
,,,,,,Grimaldi Group,2686178.11,Ferries
,,,,,,DFDS,2260535.72,Ferries
,,,,,,Attica Group,1167915.62,Ferries
,,,,,,Stena AB,1001686.29,Ferries
,,,,,,Onorato Armatori,765546.23,Ferries
,,,,,,CLdN Group,650064.56,Ferries
,,,,,,Balearia,583618.67,Ferries
,,,,,,MSC,493771.55,Ferries
,,,,,,Tallink Group,444775.52,Ferries
,,,,,,Brittany Ferries,394357.93,Ferries
,,,,,,Oldendorff Carriers,646415.94,Bulk carriers/General cargo ships
,,,,,,Spliethoff,499739.18,Bulk carriers/General cargo ships
,,,,,,China COSCO Shipping,409279.1,Bulk carriers/General cargo ships
,,,,,,Wagenborg Shipping,330590.69,Bulk carriers/General cargo ships
,,,,,,Polish Steamship Co,263314.74,Bulk carriers/General cargo ships
,,,,,,Singapore Marine,242741.89,Bulk carriers/General cargo ships
,,,,,,Gearbulk,230870.49,Bulk carriers/General cargo ships
,,,,,,Fednav,225893.22,Bulk carriers/General cargo ships
,,,,,,Wisdom Marine Group,205934.19,Bulk carriers/General cargo ships
,,,,,,Nippon Yusen Kaisha,189274.02,Bulk carriers/General cargo ships
,,,,,,Novatek,1828957.37,LNG/Gas carriers
,,,,,,Qatar Gas (Nakilat),1127232.11,LNG/Gas carriers
,,,,,,Shell,905684.64,LNG/Gas carriers
,,,,,,Nigeria LNG,649658.55,LNG/Gas carriers
,,,,,,Naturgy Energy,637629.01,LNG/Gas carriers
,,,,,,BW Group,220340.15,LNG/Gas carriers
,,,,,,Thenamaris,213606.88,LNG/Gas carriers
,,,,,,Capital Maritime,209748.0,LNG/Gas carriers
,,,,,,Cardiff Marine,202337.97999999998,LNG/Gas carriers
,,,,,,TotalEnergies,195665.29,LNG/Gas carriers
,,,,,,MSC,15602190.7,All ship types
,,,,,,A.P. Moller,10271832.76,All ship types
,,,,,,CMA CGM,8286747.17,All ship types
,,,,,,Hapag-Lloyd,5230554.02,All ship types
,,,,,,China COSCO Shipping,5098425.25,All ship types
,,,,,,Grimaldi Group,3840746.7,All ship types
,,,,,,Evergreen Marine,2752980.9899999998,All ship types
,,,,,,ONE,2624666.58,All ship types
,,,,,,Carnival Corporation,2505841.77,All ship types
,,,,,,DFDS,2276319.28,All ship types
